Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52611570,The Introvert’s Edge to Networking: Work the Room. Leverage Social Media. Develop Powerful Connections,Matthew Owen Pollard,"Pollard, Matthew Owen",,"=""1400216680""","=""9781400216680""",0,3.95,HarperCollins Leadership,Hardcover,256,2021,2021,,2022/10/25,to-read,to-read (#56),to-read,,,,0,0
34963434,The Introvert's Edge: How the Quiet and Shy Can Outsell Anyone,Matthew Owen Pollard,"Pollard, Matthew Owen",Derek Lewis,"=""0814438873""","=""9780814438879""",0,3.92,AMACOM,Paperback,240,2018,2018,,2022/10/25,to-read,to-read (#55),to-read,,,,0,0
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon, Daniela Caggiati","=""0062102427""","=""9780062102423""",0,4.05,Harper Business,Kindle Edition,240,2012,2012,,2022/10/14,to-read,to-read (#54),to-read,,,,0,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",0,4.20,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2022/10/11,to-read,to-read (#53),to-read,,,,0,0
1991,Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,"Diamond, Jared",,"=""0465031269""","=""9780465031269""",4,3.70,Basic Books,Paperback,176,1998,1997,,2022/07/16,,,read,,,,1,0
15766601,The World Until Yesterday: What Can We Learn from Traditional Societies?,Jared Diamond,"Diamond, Jared",,"=""0670024813""","=""9780670024810""",0,3.77,Viking,Hardcover,512,2012,2012,,2022/06/14,to-read,to-read (#52),to-read,,,,0,0
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",5,4.17,Random House,Hardcover,372,2018,2018,2022/06/13,2022/06/11,,,read,,,,1,0
41716904,Upheaval: Turning Points for Nations in Crisis,Jared Diamond,"Diamond, Jared",,"=""""","=""""",0,3.90,"Little, Brown and Company",Hardcover,512,2019,2019,,2022/06/12,to-read,to-read (#51),to-read,,,,0,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2022/06/12,to-read,to-read (#50),to-read,,,,0,0
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,"=""0143036556""","=""9780143036555""",0,3.93,Penguin Books Ltd. (London),Paperback,608,2005,2004,,2022/06/12,to-read,to-read (#49),to-read,,,,0,0
